antibiogram,term,estimate,conf10,conf90,conf2-5,conf97-5,p-value,ab_name,flq,cph03,b_lac,flag,estimate_interp,conf10_interp,conf90_interp,conf2-5_interp,conf97-5_interp
AB_2,FQL,1.003501036,1.002532507,1.004470502,1.002020171,1.00498409,3.51070636216312e-06,R-S-R,1,0,1,1,3.6,2.6,4.6,2,5.1
AB_3,FQL,0.999657784,0.998623879,1.00069276,0.99807699,1.001241082,0.6716,S-S-R,0,0,1,0,-0.3,-1.4,0.7,-1.9,1.2
AB_4,FQL,1.003523822,1.00252125,1.004527397,1.00199092,1.00505907,6.48079105740323e-06,R-S-S,1,0,0,1,3.6,2.6,4.6,2,5.2
AB_5,FQL,1.002720938,1.001549701,1.003893545,1.000930233,1.004514847,0.0029,R-R-R,1,1,1,1,2.8,1.6,4,0.9,4.6
AB_6,FQL,0.998978645,0.996717745,1.001244673,0.995522956,1.002446328,0.5633,S-R-R,0,1,1,0,-1,-3.2,1.3,-4.4,2.5
AB_7,FQL,1.004135741,1.001414333,1.006864544,0.999976679,1.008312101,0.0513,R-R-S,1,1,0,1,4.2,1.4,7.1,0,8.6
AB_2,3GC,0.998871623,0.997511496,1.000233604,0.996792231,1.000955353,0.2883,R-S-R,1,0,1,0,-1.1,-2.5,0.2,-3.2,1
AB_3,3GC,1.000740993,0.999421759,1.002061968,0.998724095,1.002761964,0.4718,S-S-R,0,0,1,0,0.7,-0.6,2.1,-1.3,2.8
AB_4,3GC,0.999762374,0.998375112,1.001151564,0.997641511,1.001887746,0.8264,R-S-S,1,0,0,0,-0.2,-1.6,1.2,-2.3,1.9
AB_5,3GC,1.00044723,0.998992843,1.001903735,0.998223785,1.002675628,0.6937,R-R-R,1,1,1,1,0.4,-1,1.9,-1.8,2.7
AB_6,3GC,1.005078116,1.002623227,1.007539016,1.001326102,1.00884419,0.0079,S-R-R,0,1,1,1,5.2,2.7,7.8,1.3,9.2
AB_7,3GC,0.998505843,0.995264307,1.001757937,0.993552585,1.003483795,0.5556,R-R-S,1,1,0,1,-1.5,-4.6,1.8,-6.3,3.5
AB_2,BL/BLI,1.001259113,1.000431838,1.002087072,0.999994177,1.002525649,0.0511,R-S-R,1,0,1,1,1.3,0.4,2.1,0,2.6
AB_3,BL/BLI,1.002111938,1.001296963,1.002927577,1.000865805,1.003359623,0.0009,S-S-R,0,0,1,1,2.1,1.3,3,0.9,3.4
AB_4,BL/BLI,1.000420355,0.99960324,1.001238139,0.99917095,1.001671323,0.5098,R-S-S,1,0,0,0,0.4,-0.4,1.2,-0.8,1.7
AB_5,BL/BLI,0.999599815,0.998703991,1.000496441,0.998230091,1.000971417,0.5672,R-R-R,1,1,1,1,-0.4,-1.3,0.5,-1.8,1
AB_6,BL/BLI,1.002127205,1.000469102,1.003788056,0.999592457,1.004668381,0.1001,S-R-R,0,1,1,1,2.1,0.5,3.9,-0.4,4.8
AB_7,BL/BLI,0.998594791,0.996550245,1.000643532,0.995469611,1.001729783,0.3792,R-R-S,1,1,0,0,-1.4,-3.4,0.6,-4.4,1.7
