antibiogram,term,estimate,conf10,conf90,conf2-5,conf97-5,p-value,ab_name,flq,cph03,b_lac,flag,term_ab,term_ab_name,estimate_interp,conf10_interp,conf90_interp,conf2-5_interp,conf97-5_interp
AB_2,AB_1_importation_rate,0.999547655,0.999203329,0.999892099,0.999021099,1.000074488,0.0924,S-S-R,0,0,1,0,AB_1,S-S-S,-0.5,-0.8,-0.1,-1,0.1
AB_2,AB_2_importation_rate,1.001068568,1.000400467,1.001737115,1.00004697,1.00209121,0.0403,S-S-R,0,0,1,1,AB_2,S-S-R,1.1,0.4,1.8,0,2.1
AB_2,AB_3_importation_rate,1.000060129,0.999499086,1.000621487,0.99920221,1.000918785,0.8908,S-S-R,0,0,1,0,AB_3,R-R-R,0.1,-0.5,0.6,-0.8,0.9
AB_2,AB_4_importation_rate,1.00044672,0.999578076,1.001316118,0.999118541,1.001776664,0.5099,S-S-R,0,0,1,0,AB_4,S-R-R,0.4,-0.4,1.3,-0.9,1.8
AB_2,AB_5_importation_rate,1.000378151,0.998844815,1.001913841,0.998034053,1.002727755,0.7521,S-S-R,0,0,1,0,AB_5,R-S-R,0.4,-1.1,1.9,-1.9,2.8
AB_3,AB_1_importation_rate,0.999690537,0.999375871,1.000005302,0.999209334,1.000171972,0.2077,R-R-R,1,1,1,0,AB_1,S-S-S,-0.3,-0.6,0,-0.8,0.2
AB_3,AB_2_importation_rate,0.99967176,0.999028573,1.000315362,0.998688251,1.000656238,0.5133,R-R-R,1,1,1,0,AB_2,S-S-R,-0.3,-1,0.3,-1.3,0.7
AB_3,AB_3_importation_rate,1.001640495,1.001216903,1.002064266,1.000992736,1.002288673,6.82517310829485e-07,R-R-R,1,1,1,1,AB_3,R-R-R,1.7,1.2,2.1,1,2.3
AB_3,AB_4_importation_rate,1.000318953,0.999577482,1.001060975,0.999185186,1.001454008,0.5815,R-R-R,1,1,1,0,AB_4,S-R-R,0.3,-0.4,1.1,-0.8,1.5
AB_3,AB_5_importation_rate,1.003067782,1.001940839,1.004195993,1.001344774,1.004793756,0.0005,R-R-R,1,1,1,0,AB_5,R-S-R,3.1,2,4.3,1.4,4.9
AB_4,AB_1_importation_rate,1.000393379,0.999921761,1.000865218,0.999672188,1.00111509,0.2851,S-R-R,0,1,1,0,AB_1,S-S-S,0.4,-0.1,0.9,-0.3,1.1
AB_4,AB_2_importation_rate,1.001020352,1.000105912,1.001935628,0.999622166,1.002420494,0.1527,S-R-R,0,1,1,0,AB_2,S-S-R,1,0.1,2,-0.4,2.4
AB_4,AB_3_importation_rate,1.001395354,1.000716151,1.002075019,1.000356782,1.002435005,0.0084,S-R-R,0,1,1,0,AB_3,R-R-R,1.4,0.7,2.1,0.4,2.5
AB_4,AB_4_importation_rate,1.005225232,1.004445749,1.00600532,1.004033353,1.006418526,7.3089619690665e-18,S-R-R,0,1,1,1,AB_4,S-R-R,5.3,4.5,6.2,4.1,6.6
AB_4,AB_5_importation_rate,0.999810527,0.997654818,1.001970894,0.996515516,1.003116432,0.9104,S-R-R,0,1,1,0,AB_5,R-S-R,-0.2,-2.3,2,-3.4,3.2
AB_5,AB_1_importation_rate,0.999134861,0.998282003,0.999988448,0.997830814,1.000440612,0.1940,R-S-R,1,0,1,0,AB_1,S-S-S,-0.9,-1.7,0,-2.1,0.4
AB_5,AB_2_importation_rate,0.999286688,0.997459505,1.001117218,0.996493588,1.002087616,0.6173,R-S-R,1,0,1,0,AB_2,S-S-R,-0.7,-2.5,1.1,-3.5,2.1
AB_5,AB_3_importation_rate,0.999814945,0.998524082,1.001107477,0.997841403,1.00179239,0.8543,R-S-R,1,0,1,0,AB_3,R-R-R,-0.2,-1.5,1.1,-2.1,1.8
AB_5,AB_4_importation_rate,0.999034345,0.996581843,1.001492882,0.995285982,1.002796824,0.6144,R-S-R,1,0,1,0,AB_4,S-R-R,-1,-3.4,1.5,-4.6,2.8
AB_5,AB_5_importation_rate,1.000697216,0.997276238,1.00412993,0.995469986,1.005951896,0.7942,R-S-R,1,0,1,1,AB_5,R-S-R,0.7,-2.7,4.2,-4.4,6.1
