"antibiogram","term","estimate","conf10","conf90","conf2-5","conf97-5","p-value","ab_name","flq","b_lac","antipseudomonalcpm","flag","estimate_interp","conf10_interp","conf90_interp","conf2-5_interp","conf97-5_interp"
"AB_2","FQL",0.999015387360608,0.997580165769833,1.00045267380901,0.996821229752035,1.00121437464924,0.379873034578319,"S-R-S",0,1,0,0,-1,-2.4,0.5,-3.1,1.2
"AB_3","FQL",1.00213780096276,1.00057339517617,1.00370465271232,0.999746226217964,1.00453509678919,0.0798107427907423,"R-R-R",1,1,1,1,2.2,0.6,3.8,-0.3,4.6
"AB_4","FQL",1.00276178102969,1.00149570186914,1.00402946075272,1.00082611805065,1.00470118770717,0.00514779037406788,"R-S-S",1,0,0,1,2.8,1.5,4.1,0.8,4.8
"AB_5","FQL",1.00143577810861,0.999850317140011,1.00302375314,0.999012029600315,1.00386540698336,0.245853229296105,"R-R-S",1,1,0,1,1.4,-0.1,3.1,-1,3.9
"AB_6","FQL",1.00270448891119,1.00102679226279,1.00438499733851,1.0001397977018,1.00527575684217,0.0387374581489601,"R-S-R",1,0,1,1,2.7,1,4.5,0.1,5.4
"AB_7","FQL",0.999900763488284,0.997840496969777,1.0019652838912,0.996751561753274,1.00305991501615,0.950832037094089,"S-S-R",0,0,1,0,-0.1,-2.1,2,-3.2,3.1
"AB_2","BL/BLI",1.00173443128932,1.00053757314081,1.00293272113762,0.99990456496613,1.00356764634286,0.063215225503843,"S-R-S",0,1,0,1,1.7,0.5,3,-0.1,3.6
"AB_3","BL/BLI",1.00028813084651,0.998979463939126,1.00159851211254,0.998287381208638,1.00229289035087,0.777929365850392,"R-R-R",1,1,1,1,0.3,-1,1.6,-1.7,2.3
"AB_4","BL/BLI",1.00019432785013,0.99907775345423,1.00131215013527,0.998487171216543,1.00190440328313,0.82358315424645,"R-S-S",1,0,0,0,0.2,-0.9,1.3,-1.5,1.9
"AB_5","BL/BLI",1.00160994719427,1.00018482630983,1.00303709867294,0.999431223512893,1.00379342041396,0.147644971949525,"R-R-S",1,1,0,1,1.6,0.2,3.1,-0.6,3.9
"AB_6","BL/BLI",1.00057641534882,0.99913395630722,1.00202095688203,0.998371196087815,1.00278650553559,0.60872315991734,"R-S-R",1,0,1,0,0.6,-0.9,2,-1.6,2.8
"AB_7","BL/BLI",0.997788720503716,0.996215168347548,0.999364758133372,0.995383173486636,1.00020008101715,0.0722505665546316,"S-S-R",0,0,1,0,-2.2,-3.7,-0.6,-4.5,0.2
"AB_2","CPM",1.0005136425976,0.997639163316875,1.00339640406233,0.996120829518772,1.00492582763028,0.819077064054308,"S-R-S",0,1,0,0,0.5,-2.3,3.4,-3.8,5
"AB_3","CPM",1.00996770081417,1.00712027321732,1.01282317893303,1.0056161665092,1.01433806521699,6.72696454548849e-06,"R-R-R",1,1,1,1,10.4,7.4,13.6,5.8,15.3
"AB_4","CPM",1.00282714898949,0.999932431003397,1.00573024693402,0.998403422779432,1.00727047584707,0.210714826914844,"R-S-S",1,0,0,0,2.9,-0.1,5.9,-1.6,7.5
"AB_5","CPM",1.00308009079399,0.999768236712988,1.0064029157951,0.998019451669578,1.00816639080938,0.233364204911986,"R-R-S",1,1,0,0,3.1,-0.2,6.6,-2,8.5
"AB_6","CPM",1.00971242603037,1.00628266368599,1.01315387820123,1.00447175074725,1.01498044372247,0.000272111350766514,"R-S-R",1,0,1,1,10.1,6.5,14,4.6,16
"AB_7","CPM",1.01467724533364,1.01095300103018,1.01841520936059,1.00898701469282,1.02039956630296,3.81096706023194e-07,"S-S-R",0,0,1,1,15.7,11.5,20,9.4,22.4
