"antibiogram","term","estimate","conf10","conf90","conf2-5","conf97-5","p-value","ab_name","flq","b_lac","antipseudomonalcpm","flag","term_ab","term_ab_name","estimate_interp","conf10_interp","conf90_interp","conf2-5_interp","conf97-5_interp"
"AB_2","AB_1_importation_rate",0.99728582491126,0.996984850597855,0.997586890084157,0.996825558998788,0.997746303343071,8.33016462751037e-31,"S-R-S",0,1,0,0,"AB_1","S-S-S",-2.7,-3,-2.4,-3.1,-2.2
"AB_3","AB_1_importation_rate",0.998078738357986,0.997755049776156,0.998402531949857,0.997583739530189,0.998573982803098,3.00323263401731e-14,"R-R-R",1,1,1,0,"AB_1","S-S-S",-1.9,-2.2,-1.6,-2.4,-1.4
"AB_4","AB_1_importation_rate",0.999548260375042,0.999228705985677,0.999867916958235,0.999059583139578,1.00003717664073,0.070143453022667,"R-S-S",1,0,0,0,"AB_1","S-S-S",-0.5,-0.8,-0.1,-0.9,0
"AB_5","AB_1_importation_rate",0.998192562930484,0.997801095902484,0.998584183542634,0.997593925074809,0.998791560017779,3.40950308754603e-09,"R-R-S",1,1,0,0,"AB_1","S-S-S",-1.8,-2.2,-1.4,-2.4,-1.2
"AB_6","AB_1_importation_rate",1.00011151566076,0.999687930077118,1.00053528072517,0.999463766956847,1.00075968416817,0.735861985564929,"R-S-R",1,0,1,0,"AB_1","S-S-S",0.1,-0.3,0.5,-0.5,0.8
"AB_7","AB_1_importation_rate",0.999438530711999,0.999010082144768,0.999867163029303,0.998783346408364,1.00009414480501,0.0932273154039415,"S-S-R",0,0,1,0,"AB_1","S-S-S",-0.6,-1,-0.1,-1.2,0.1
"AB_2","AB_2_importation_rate",1.00471340780616,1.00432399072236,1.00510297588274,1.0041179040361,1.00530926474664,1.71601910796838e-54,"S-R-S",0,1,0,1,"AB_2","S-R-S",4.8,4.4,5.2,4.2,5.4
"AB_3","AB_2_importation_rate",1.00322514710723,1.00278868193787,1.00366180224867,1.00255770492761,1.00389303362942,2.47215917111476e-21,"R-R-R",1,1,1,0,"AB_2","S-R-S",3.3,2.8,3.7,2.6,4
"AB_4","AB_2_importation_rate",0.999690546010831,0.999073179122878,1.00030829439424,0.998746514687153,1.00063546964815,0.520820437308275,"R-S-S",1,0,0,0,"AB_2","S-R-S",-0.3,-0.9,0.3,-1.2,0.6
"AB_5","AB_2_importation_rate",1.00408260253644,1.00361240253228,1.00455302283286,1.00336357940024,1.00480214093379,7.36831219392426e-29,"R-R-S",1,1,0,0,"AB_2","S-R-S",4.2,3.7,4.6,3.4,4.9
