"antibiogram","term","estimate","conf10","conf90","conf2-5","conf97-5","p-value","ab_name","flq","ASBL","macr","flag","estimate_interp","conf10_interp","conf90_interp","conf2-5_interp","conf97-5_interp"
"AB_1","ASBL",1.00025835796481,0.998625301142139,1.00189408533326,0.997761876884914,1.00276108544269,0.839439730449461,"R-R-R",1,1,1,1,0.3,-1.4,1.9,-2.2,2.8
"AB_3","ASBL",0.998213742074335,0.995804450294466,1.00062886299754,0.99453137989177,1.00190973860924,0.343048452174391,"S-S-R",0,0,1,0,-1.8,-4.1,0.6,-5.3,1.9
"AB_4","ASBL",0.997902560419887,0.994960448332724,1.00085337237401,0.993406472893632,1.0024189969207,0.362124901371824,"S-R-R",0,1,1,1,-2.1,-4.9,0.9,-6.4,2.4
"AB_5","ASBL",0.999315746469319,0.996181950361812,1.00245940089441,0.994526968834475,1.00412758269579,0.780022374379673,"R-S-R",1,0,1,0,-0.7,-3.8,2.5,-5.3,4.2
"AB_6","ASBL",0.995344887606075,0.99146535255518,0.999239603008126,0.989417738236791,1.0013075438177,0.125722929222942,"R-R-S",1,1,0,1,-4.6,-8.2,-0.8,-10.1,1.3
"AB_1","MACR",1.00138573416722,0.999698130223048,1.00307618697845,0.99880590197276,1.00397222985269,0.292724544197385,"R-R-R",1,1,1,1,1.4,-0.3,3.1,-1.2,4
"AB_3","MACR",1.00072805777079,0.998283398779236,1.0031787033966,0.996991669328246,1.00447844893675,0.702949937055679,"S-S-R",0,0,1,1,0.7,-1.7,3.2,-3,4.6
"AB_4","MACR",1.00444360453643,1.0018131622877,1.00708095348861,1.00042345459743,1.00847990924016,0.0302423749233307,"S-R-R",0,1,1,1,4.5,1.8,7.3,0.4,8.8
"AB_5","MACR",0.997254081321743,0.993881948354419,1.00063765556815,0.992101434756608,1.00243348902812,0.298165795573828,"R-S-R",1,0,1,1,-2.7,-6,0.6,-7.6,2.5
"AB_6","MACR",0.996325804013875,0.99220294425568,1.00046579532029,0.990027305127297,1.00266437360155,0.255272364112507,"R-R-S",1,1,0,0,-3.6,-7.5,0.5,-9.5,2.7
"AB_1","FQL",1.00166340045173,1.00080735840514,1.00252017471514,1.00035448504796,1.00297402850793,0.01272965812022,"R-R-R",1,1,1,1,1.7,0.8,2.5,0.4,3
"AB_3","FQL",1.00119122504585,0.999890572856562,1.00249356911639,0.999202720758321,1.00318368663776,0.240524786081171,"S-S-R",0,0,1,0,1.2,-0.1,2.5,-0.8,3.2
"AB_4","FQL",0.999299036265646,0.997818983306434,1.00078128456971,0.997036363892036,1.00156684354351,0.544319249718154,"S-R-R",0,1,1,0,-0.7,-2.2,0.8,-2.9,1.6
"AB_5","FQL",1.00299384503542,1.00140736783651,1.00458283560699,1.00056853829855,1.00542503054275,0.0155146165238208,"R-S-R",1,0,1,1,3,1.4,4.7,0.6,5.6
"AB_6","FQL",1.00447573642781,1.00252301699405,1.00643225937842,1.001490828087,1.0074695411834,0.00327040870009991,"R-R-S",1,1,0,1,4.6,2.6,6.6,1.5,7.7
