"antibiogram","term","estimate","conf10","conf90","conf2-5","conf97-5","p-value","ab_name","flq","ASBL","macr","flag","term_ab","term_ab_name","estimate_interp","conf10_interp","conf90_interp","conf2-5_interp","conf97-5_interp"
"AB_1","AB_1_importation_rate",1.00112440199672,1.00079951175368,1.00144939770912,1.00062756479418,1.00162148589166,9.11848942068505e-06,"R-R-R",1,1,1,1,"AB_1","R-R-R",1.1,0.8,1.5,0.6,1.6
"AB_3","AB_1_importation_rate",0.999752943314771,0.999287939619747,1.00021816339231,0.999041864602261,1.00046452814514,0.496091926391686,"S-S-R",0,0,1,0,"AB_1","R-R-R",-0.2,-0.7,0.2,-1,0.5
"AB_4","AB_1_importation_rate",0.999710120841946,0.999136353036664,1.00028421814129,0.998832746485338,1.0005882658839,0.51750822828215,"S-R-R",0,1,1,0,"AB_1","R-R-R",-0.3,-0.9,0.3,-1.2,0.6
"AB_5","AB_1_importation_rate",1.00164084665812,1.00100038419504,1.00228171890344,1.00066150345707,1.00262114833825,0.00101994958974575,"R-S-R",1,0,1,0,"AB_1","R-R-R",1.7,1,2.3,0.7,2.7
"AB_6","AB_1_importation_rate",1.00252865497613,1.00174541204976,1.00331251030309,1.00133102846944,1.0037277138855,3.45711289779965e-05,"R-R-S",1,1,0,0,"AB_1","R-R-R",2.6,1.8,3.4,1.3,3.8
"AB_1","AB_2_importation_rate",1.00016006911211,0.999803489268633,1.00051677612976,0.999614775324541,1.00070566035958,0.565130449907269,"R-R-R",1,1,1,0,"AB_2","S-S-S",0.2,-0.2,0.5,-0.4,0.7
"AB_3","AB_2_importation_rate",0.999396848840401,0.998886055308625,0.999907903573173,0.998615758305359,1.00017855032357,0.130421986249033,"S-S-R",0,0,1,0,"AB_2","S-S-S",-0.6,-1.1,-0.1,-1.4,0.2
"AB_4","AB_2_importation_rate",0.999724408317836,0.999099357362701,1.00034985031386,0.998768627552355,1.00068110372646,0.572210054681062,"S-R-R",0,1,1,0,"AB_2","S-S-S",-0.3,-0.9,0.4,-1.2,0.7
"AB_5","AB_2_importation_rate",1.00079952041161,1.00008334947693,1.00151620420435,0.99970443205421,1.00189580834207,0.1524956573317,"R-S-R",1,0,1,0,"AB_2","S-S-S",0.8,0.1,1.5,-0.3,1.9
"AB_6","AB_2_importation_rate",1.00133517681096,1.00046146084401,1.00220965580539,0.999999243766673,1.0026728945737,0.0501267255624254,"R-R-S",1,1,0,0,"AB_2","S-S-S",1.3,0.5,2.2,0,2.7
"AB_1","AB_3_importation_rate",1.00064209613376,1.00018995717295,1.00109443948539,0.999950687607076,1.00133398272977,0.0687351669731223,"R-R-R",1,1,1,0,"AB_3","S-S-R",0.6,0.2,1.1,0,1.3
"AB_3","AB_3_importation_rate",0.999861775195019,0.999216256164737,1.00050771124696,0.998874701521086,1.00084982428102,0.783844250902113,"S-S-R",0,0,1,1,"AB_3","S-S-R",-0.1,-0.8,0.5,-1.1,0.9
"AB_4","AB_3_importation_rate",1.00049322755937,0.999719344478541,1.00126770970336,0.999309910397554,1.00167794592766,0.414112938859757,"S-R-R",0,1,1,0,"AB_3","S-S-R",0.5,-0.3,1.3,-0.7,1.7
"AB_5","AB_3_importation_rate",1.00108471042512,1.00016747425288,1.00200278777868,0.999682250151845,1.00248913821839,0.129599529280232,"R-S-R",1,0,1,0,"AB_3","S-S-R",1.1,0.2,2,-0.3,2.5
"AB_6","AB_3_importation_rate",1.0020035257739,1.00091343603313,1.00309480272588,1.00033684700947,1.00367298142105,0.0184473060468975,"R-R-S",1,1,0,0,"AB_3","S-S-R",2,0.9,3.1,0.3,3.7
"AB_1","AB_4_importation_rate",1.00037531900169,0.999920735307088,1.00083010935901,0.999680172472875,1.0010709489138,0.290029676399275,"R-R-R",1,1,1,0,"AB_4","S-R-R",0.4,-0.1,0.8,-0.3,1.1
"AB_3","AB_4_importation_rate",1.00012559540523,0.999467492668421,1.00078413147201,0.999119283087739,1.00113292127986,0.806832739334395,"S-S-R",0,0,1,0,"AB_4","S-R-R",0.1,-0.5,0.8,-0.9,1.1
"AB_4","AB_4_importation_rate",1.00219334308606,1.00145348204419,1.00293375072782,1.00106203725404,1.00332592741316,0.000143537844378905,"S-R-R",0,1,1,1,"AB_4","S-R-R",2.2,1.5,3,1.1,3.4
"AB_5","AB_4_importation_rate",1.00133680246374,1.00043403358617,1.00224038597937,0.999956457415442,1.00271905294745,0.057679939553116,"R-S-R",1,0,1,0,"AB_4","S-R-R",1.3,0.4,2.3,0,2.8
"AB_6","AB_4_importation_rate",1.00009219445754,0.998957269262522,1.00122840905226,0.998356986658405,1.00183041815796,0.9171280819304,"R-R-S",1,1,0,0,"AB_4","S-R-R",0.1,-1,1.2,-1.6,1.8
"AB_1","AB_5_importation_rate",1.00125064502184,1.00065396619856,1.00184767963806,1.00033824170391,1.00216388053809,0.00720874895298434,"R-R-R",1,1,1,0,"AB_5","R-S-R",1.3,0.7,1.9,0.3,2.2
"AB_3","AB_5_importation_rate",1.00107785722576,1.00021473062903,1.00194172865007,0.999758111968488,1.00239934463197,0.109473774863772,"S-S-R",0,0,1,0,"AB_5","R-S-R",1.1,0.2,2,-0.2,2.4
"AB_4","AB_5_importation_rate",1.00112520397763,1.000077627372,1.00217387791483,0.999523507517975,1.00272946709183,0.168641897663823,"S-R-R",0,1,1,0,"AB_5","R-S-R",1.1,0.1,2.2,-0.5,2.8
"AB_5","AB_5_importation_rate",1.00298725634133,1.00183944279192,1.00413638494771,1.00123234775273,1.00474524084348,0.000842598389540488,"R-S-R",1,0,1,1,"AB_5","R-S-R",3,1.9,4.2,1.2,4.8
"AB_6","AB_5_importation_rate",1.00268807924971,1.00129003429061,1.00408807622036,1.00055072975828,1.0048299944895,0.0136745968593348,"R-R-S",1,1,0,0,"AB_5","R-S-R",2.7,1.3,4.2,0.6,4.9
"AB_1","AB_6_importation_rate",1.00129209750372,1.00053334423568,1.00205142617139,1.00013190997,1.00245363089502,0.0290372460005971,"R-R-R",1,1,1,0,"AB_6","R-R-S",1.3,0.5,2.1,0.1,2.5
"AB_3","AB_6_importation_rate",1.00126652808636,1.00015230672292,1.00238199074998,0.999562964821954,1.00297299474745,0.145156910912064,"S-S-R",0,0,1,0,"AB_6","R-R-S",1.3,0.2,2.4,-0.4,3
"AB_4","AB_6_importation_rate",1.00090797438293,0.99953421621754,1.00228362063925,0.998807742740512,1.00301262226358,0.397084116373837,"S-R-R",0,1,1,0,"AB_6","R-R-S",0.9,-0.5,2.3,-1.2,3.1
"AB_5","AB_6_importation_rate",1.00232951852938,1.00082662752538,1.0038346663492,1.00003194299867,1.00463237274478,0.0468922022403963,"R-S-R",1,0,1,0,"AB_6","R-R-S",2.4,0.8,3.9,0,4.7
"AB_6","AB_6_importation_rate",1.00637965095563,1.00481820647358,1.00794352185558,1.00399259356903,1.0087723837257,1.53165633336008e-07,"R-R-S",1,1,0,1,"AB_6","R-R-S",6.6,4.9,8.2,4.1,9.1
